"";"seqIDs";"CPC2";"PLEK";"FEELnc";"CPAT";"LncFinder";"lncRNA_Mdeep"
"228";"MSTRG.190.1";1;1;0;1;0;0
"229";"ENSMGAT00000018221";1;0;0;1;1;1
"230";"MSTRG.192.1";1;1;0;0;0;1
"231";"MSTRG.193.1";1;0;0;0;0;1
"232";"MSTRG.194.1";1;1;0;0;0;1
"233";"MSTRG.195.1";1;1;0;0;0;1
"234";"MSTRG.196.1";1;1;0;1;0;0
"235";"MSTRG.198.2";1;0;0;0;1;0
"236";"MSTRG.198.6";1;0;0;0;0;0
"237";"MSTRG.199.1";1;1;0;0;0;0
"238";"MSTRG.199.2";1;1;0;0;0;0
"239";"MSTRG.199.3";1;1;0;0;0;0
"240";"MSTRG.200.1";1;1;0;0;0;0
"241";"MSTRG.201.1";1;1;0;0;0;0
"242";"MSTRG.202.1";1;1;0;1;0;0
"243";"MSTRG.203.1";1;1;0;1;0;1
"244";"MSTRG.204.1";1;1;0;1;0;0
"245";"MSTRG.205.1";1;0;0;0;1;1
"246";"MSTRG.206.1";1;1;0;0;0;0
"247";"MSTRG.207.1";1;1;0;0;1;1
"248";"MSTRG.208.1";1;1;0;0;0;0
"249";"MSTRG.205.2";1;1;0;0;0;0
"250";"MSTRG.209.1";1;1;0;0;1;0
"251";"MSTRG.210.1";1;0;0;0;0;1
"252";"MSTRG.210.2";1;1;0;0;0;0
"253";"ENSMGAT00000004401";1;1;0;0;0;0
"254";"MSTRG.212.1";1;0;0;0;0;0
"255";"MSTRG.212.2";1;1;0;0;0;0
"256";"MSTRG.212.3";1;0;0;0;0;1
"257";"MSTRG.213.1";1;1;0;0;0;0
"258";"MSTRG.214.1";1;1;0;0;0;0
"259";"MSTRG.211.3";1;1;0;0;0;0
"260";"MSTRG.212.4";1;1;0;0;0;1
"261";"MSTRG.212.5";1;1;0;0;0;1
"262";"ENSMGAT00000000312";1;0;0;1;1;1
"263";"MSTRG.216.1";1;1;0;0;0;0
"264";"ENSMGAT00000000268";1;0;0;1;1;1
"265";"MSTRG.218.1";1;1;0;0;0;0
"266";"MSTRG.219.1";1;1;0;0;0;1
"267";"ENSMGAT00000004420";1;0;0;0;0;0
"268";"MSTRG.220.1";1;1;0;0;0;1
"269";"MSTRG.222.1";1;1;0;0;0;0
"270";"MSTRG.223.1";1;1;0;0;0;0
"271";"MSTRG.225.1";1;1;0;0;0;1
"272";"MSTRG.226.1";1;1;0;0;0;0
"273";"MSTRG.227.8";1;0;0;0;0;0
"274";"MSTRG.227.10";1;0;0;0;0;1
"275";"MSTRG.227.11";1;1;0;0;0;0
"276";"MSTRG.228.1";1;0;0;0;0;0
"277";"MSTRG.229.1";1;1;0;0;0;1
"278";"MSTRG.230.1";1;1;0;0;0;0
"279";"MSTRG.231.1";1;1;0;0;0;0
"280";"MSTRG.234.1";1;1;0;0;0;1
"281";"MSTRG.235.1";1;0;0;0;0;0
"282";"MSTRG.236.1";1;1;0;0;0;1
"283";"MSTRG.237.1";1;1;1;0;0;0
"284";"MSTRG.238.1";1;1;0;0;0;0
"285";"MSTRG.239.1";1;1;0;0;0;0
"286";"MSTRG.240.1";1;1;0;1;0;0
"287";"MSTRG.241.1";1;1;0;0;0;1
"288";"MSTRG.242.1";1;1;0;0;0;0
"289";"MSTRG.243.1";1;1;0;0;0;0
"290";"MSTRG.244.1";1;1;0;0;0;0
"291";"MSTRG.245.1";1;1;0;1;0;1
"292";"MSTRG.246.1";1;1;0;0;0;0
"293";"MSTRG.247.1";1;1;0;0;0;0
"294";"MSTRG.248.1";1;1;1;0;0;0
"295";"MSTRG.249.1";1;1;0;1;0;1
"296";"MSTRG.251.1";1;1;0;0;1;0
"297";"MSTRG.251.2";1;1;0;0;0;1
"298";"MSTRG.252.1";1;1;0;0;0;0
"299";"MSTRG.250.1";1;1;0;0;0;0
"300";"MSTRG.253.1";1;1;0;0;0;0
"301";"MSTRG.254.1";1;1;0;0;0;0
"302";"MSTRG.255.1";1;1;0;1;0;0
"303";"MSTRG.257.1";1;0;0;0;1;0
"304";"MSTRG.256.5";1;1;0;0;0;0
"305";"MSTRG.258.1";1;1;0;0;0;1
"306";"MSTRG.261.1";1;1;0;0;0;0
"307";"MSTRG.262.1";1;1;0;0;0;0
"308";"MSTRG.263.1";1;1;0;0;0;0
"309";"MSTRG.264.1";1;1;0;1;0;0
"310";"ENSMGAT00000004624";1;1;0;0;0;0
"311";"MSTRG.266.1";1;1;0;0;0;1
"312";"MSTRG.268.1";1;1;0;1;0;0
"313";"MSTRG.267.6";1;1;0;0;0;0
"314";"MSTRG.267.7";1;1;0;0;0;0
"315";"MSTRG.267.8";1;1;0;0;0;1
"316";"MSTRG.269.1";1;1;0;0;0;0
"317";"MSTRG.270.1";1;1;0;0;0;0
"318";"ENSMGAT00000004720";1;1;0;0;0;0
"319";"MSTRG.272.1";1;1;0;0;0;0
"320";"MSTRG.272.2";1;1;0;0;0;0
"321";"MSTRG.272.3";1;1;0;0;0;0
"322";"MSTRG.272.4";1;1;0;0;0;0
"323";"MSTRG.272.5";1;1;0;0;0;0
"324";"MSTRG.273.1";1;1;0;0;0;0
"325";"MSTRG.274.1";1;1;0;0;0;1
"326";"MSTRG.275.1";1;1;0;1;0;0
"327";"MSTRG.276.1";1;1;0;0;0;1
"328";"MSTRG.281.1";1;1;0;0;0;1
"329";"MSTRG.283.1";1;1;0;1;0;1
"330";"MSTRG.280.1";1;1;0;0;0;0
"331";"MSTRG.280.2";1;1;0;0;0;0
"332";"MSTRG.290.1";1;0;0;0;1;0
"333";"MSTRG.291.1";1;1;0;0;0;0
"334";"MSTRG.293.1";1;1;0;0;0;0
"335";"MSTRG.293.2";1;1;0;0;0;0
"336";"MSTRG.293.3";1;1;0;0;0;0
"337";"MSTRG.294.1";1;1;0;1;0;0
"338";"MSTRG.295.1";1;1;0;0;0;0
"339";"MSTRG.286.1";1;0;0;0;1;1
"340";"MSTRG.287.1";1;1;0;0;0;1
"341";"MSTRG.288.1";1;1;0;0;0;1
"342";"MSTRG.289.1";1;1;0;1;0;0
"343";"MSTRG.296.1";1;1;0;0;0;1
"344";"MSTRG.297.1";1;1;0;0;0;0
"345";"MSTRG.299.1";1;1;0;1;0;0
"346";"MSTRG.300.1";1;1;0;1;0;0
"347";"MSTRG.301.1";1;1;0;0;0;1
"348";"MSTRG.302.1";1;1;0;0;0;0
"349";"MSTRG.303.1";1;1;0;0;0;1
"350";"MSTRG.304.1";1;0;0;0;0;0
"351";"MSTRG.305.1";1;1;0;0;0;0
"352";"MSTRG.306.1";1;1;0;0;0;1
"353";"MSTRG.307.1";1;1;0;0;0;1
"354";"MSTRG.308.1";1;1;0;1;0;1
"355";"MSTRG.309.1";1;1;0;0;0;0
"356";"MSTRG.310.1";1;1;0;0;0;0
"357";"MSTRG.311.1";1;1;0;1;0;1
"358";"MSTRG.312.1";1;1;0;1;0;0
"359";"MSTRG.317.2";1;1;0;0;0;0
"360";"MSTRG.313.1";1;1;0;0;0;0
"361";"MSTRG.314.1";1;1;0;0;0;1
"362";"MSTRG.315.1";1;1;0;0;0;0
"363";"MSTRG.316.1";1;1;0;1;0;0
"364";"MSTRG.318.1";1;1;0;0;0;0
"365";"MSTRG.318.3";1;1;0;0;0;0
"366";"MSTRG.318.2";1;1;0;0;0;0
"367";"MSTRG.319.1";1;0;0;0;0;0
"368";"MSTRG.320.1";1;1;0;0;0;1
"369";"MSTRG.321.1";1;1;0;1;0;0
"370";"MSTRG.322.1";1;1;0;1;0;1
"371";"MSTRG.323.1";1;1;0;0;0;0
"372";"MSTRG.324.1";1;1;0;0;0;0
"373";"MSTRG.326.1";1;1;0;0;0;0
"374";"MSTRG.327.1";1;1;0;1;0;1
"375";"MSTRG.328.1";1;1;0;1;0;0
"376";"MSTRG.329.1";1;1;0;0;0;1
"377";"MSTRG.330.1";1;1;0;1;0;1
"378";"MSTRG.331.1";1;1;0;0;0;1
"379";"MSTRG.332.1";1;1;0;0;0;0
"380";"MSTRG.334.1";1;1;0;0;0;0
"381";"MSTRG.334.2";1;1;0;0;0;0
"382";"MSTRG.333.1";1;1;0;0;0;0
"383";"MSTRG.335.1";1;1;0;0;0;0
"384";"MSTRG.337.1";1;1;0;1;0;0
"385";"MSTRG.338.1";1;1;0;0;0;0
"386";"MSTRG.340.1";1;1;0;0;0;0
"387";"MSTRG.340.2";1;1;0;0;0;0
"388";"MSTRG.340.3";1;1;0;0;1;0
"389";"MSTRG.341.1";1;1;0;0;0;0
"390";"MSTRG.342.1";1;1;0;1;0;0
"391";"MSTRG.343.1";1;1;0;0;0;1
"392";"MSTRG.344.1";1;1;0;0;0;1
"393";"MSTRG.345.1";1;1;0;0;0;0
"394";"MSTRG.346.1";1;1;0;1;0;0
"395";"MSTRG.347.1";1;1;0;0;0;1
"396";"MSTRG.348.1";1;1;0;1;0;0
"397";"MSTRG.349.1";1;1;0;1;0;0
"398";"MSTRG.350.1";1;1;0;0;0;0
"399";"MSTRG.352.1";1;0;0;0;0;0
"400";"ENSMGAT00000005785";1;1;0;0;0;0
"401";"MSTRG.353.1";1;1;0;0;0;0
"402";"MSTRG.354.2";1;0;0;0;0;0
"403";"ENSMGAT00000005788";1;1;0;1;0;0
"404";"MSTRG.358.1";1;1;0;0;0;0
"405";"MSTRG.359.1";1;1;0;1;0;0
"406";"MSTRG.360.1";1;1;0;0;0;0
"407";"MSTRG.361.1";1;1;0;0;0;0
"408";"MSTRG.363.1";1;1;0;0;0;0
"409";"MSTRG.364.1";1;1;0;0;0;0
"410";"MSTRG.365.1";1;1;0;0;0;0
"411";"MSTRG.366.1";1;1;0;0;0;1
"412";"MSTRG.367.1";1;1;0;1;0;0
"413";"MSTRG.368.1";1;1;0;0;0;0
"414";"MSTRG.369.1";1;1;0;1;0;1
"415";"MSTRG.370.1";1;1;0;0;0;1
"416";"MSTRG.371.1";1;1;1;1;0;0
"417";"MSTRG.372.1";1;1;0;0;0;0
"418";"MSTRG.373.1";1;1;0;0;0;1
"419";"MSTRG.374.1";1;1;0;0;0;1
"420";"MSTRG.375.1";1;1;0;1;0;1
"421";"MSTRG.376.1";1;1;0;1;0;0
"422";"MSTRG.377.1";1;1;0;0;0;1
"423";"MSTRG.378.1";1;1;0;0;0;0
"424";"MSTRG.379.1";1;1;0;0;0;0
"425";"MSTRG.380.1";1;1;0;1;0;0
"426";"MSTRG.387.1";1;1;0;0;0;0
"427";"MSTRG.388.1";1;1;0;0;0;0
"428";"ENSMGAT00000000258";1;0;0;1;1;1
"429";"MSTRG.389.3";1;1;0;0;0;1
"430";"MSTRG.389.4";1;1;0;0;1;0
"431";"MSTRG.391.1";1;1;0;0;0;0
"432";"MSTRG.389.5";1;1;0;0;0;0
"433";"MSTRG.389.7";1;1;0;0;0;0
"434";"MSTRG.389.8";1;1;0;0;0;0
"435";"MSTRG.392.1";1;1;0;0;0;0
"436";"MSTRG.394.1";1;1;0;0;0;0
"437";"MSTRG.381.1";1;1;0;1;0;1
"438";"MSTRG.382.1";1;1;0;0;0;0
"439";"MSTRG.383.1";1;1;0;0;0;0
"440";"MSTRG.384.1";1;1;0;0;0;0
"441";"MSTRG.386.1";1;1;0;0;0;0
"442";"MSTRG.386.2";1;1;0;0;0;0
"443";"MSTRG.395.1";1;1;0;0;0;0
"444";"MSTRG.396.1";1;1;0;0;0;0
"445";"MSTRG.397.1";1;1;0;0;0;1
"446";"MSTRG.398.1";1;1;0;0;0;1
"447";"MSTRG.399.1";1;1;0;1;0;0
"448";"MSTRG.407.1";1;1;0;0;0;0
"449";"MSTRG.408.1";1;1;0;0;0;0
"450";"MSTRG.409.1";1;1;0;0;0;1
"451";"MSTRG.410.1";1;1;1;1;0;1
"452";"MSTRG.403.1";1;1;0;0;0;0
"453";"MSTRG.403.2";1;1;0;0;0;0
"454";"MSTRG.403.3";1;1;0;0;0;0
"455";"ENSMGAT00000005414";1;1;0;0;0;0
"456";"MSTRG.404.1";1;1;0;0;0;0
"457";"MSTRG.405.1";1;1;0;0;0;0
"458";"MSTRG.413.1";1;1;0;0;1;0
"459";"MSTRG.414.1";1;1;0;0;0;0
"460";"MSTRG.415.1";1;1;0;0;0;0
"461";"MSTRG.417.1";1;1;0;0;0;0
"462";"MSTRG.418.1";1;1;1;0;0;0
"463";"MSTRG.419.2";1;1;0;0;0;0
"464";"MSTRG.419.1";1;1;0;0;0;0
"465";"MSTRG.420.1";1;1;0;0;0;0
"466";"MSTRG.421.1";1;1;0;0;0;0
"467";"MSTRG.423.1";1;1;0;0;0;1
"468";"MSTRG.423.2";1;0;0;0;0;0
"469";"MSTRG.424.1";1;1;0;0;0;0
"470";"MSTRG.422.1";1;1;0;0;0;0
"471";"MSTRG.431.1";1;1;0;0;0;0
"472";"MSTRG.439.1";1;1;0;0;0;0
"473";"MSTRG.440.1";1;1;0;0;0;0
"474";"MSTRG.439.2";1;1;0;0;0;0
"475";"MSTRG.439.3";1;1;0;0;0;0
"476";"MSTRG.434.1";1;1;0;1;0;0
"477";"MSTRG.433.2";1;1;0;0;0;0
"478";"MSTRG.433.3";1;1;0;0;0;0
"479";"MSTRG.435.1";1;0;0;0;0;0
"480";"MSTRG.436.1";1;1;0;0;0;0
"481";"MSTRG.437.1";1;1;0;0;1;0
"482";"MSTRG.438.1";1;1;0;0;0;0
"483";"MSTRG.441.2";1;1;0;0;0;0
"484";"MSTRG.441.3";1;1;0;0;0;0
"485";"MSTRG.442.1";1;1;0;1;1;0
"486";"MSTRG.443.1";1;0;0;0;0;0
"487";"ENSMGAT00000000265";1;0;0;1;1;1
"488";"MSTRG.448.7";1;1;0;0;0;0
"489";"MSTRG.450.1";1;1;0;0;0;0
"490";"MSTRG.451.1";1;1;0;1;0;1
"491";"MSTRG.452.1";1;1;0;0;0;0
"492";"MSTRG.453.1";1;1;0;0;0;0
"493";"MSTRG.454.1";1;1;0;0;0;1
"494";"ENSMGAT00000000034";1;0;0;1;1;1
"495";"MSTRG.444.1";1;1;0;0;0;1
"496";"MSTRG.445.1";1;1;0;0;0;0
"497";"MSTRG.447.1";1;1;0;0;0;1
"498";"MSTRG.457.1";1;1;0;0;0;1
"499";"MSTRG.456.1";1;1;0;0;0;0
"500";"MSTRG.459.1";1;1;0;0;0;0
"501";"MSTRG.460.1";1;1;0;1;0;1
"502";"MSTRG.461.1";1;1;0;0;0;0
"503";"MSTRG.462.1";1;1;0;0;0;0
"504";"MSTRG.463.1";1;1;0;0;0;1
"505";"MSTRG.464.1";1;0;0;0;1;0
"506";"MSTRG.465.1";1;1;0;1;0;1
"507";"MSTRG.467.1";1;1;0;0;0;0
"508";"MSTRG.468.1";1;1;0;0;0;0
"509";"MSTRG.469.1";1;1;0;0;0;1
"510";"MSTRG.470.1";1;1;0;1;0;1
"511";"MSTRG.471.1";1;1;0;0;0;0
"512";"MSTRG.472.1";1;1;0;0;0;1
"513";"MSTRG.474.1";1;1;0;0;0;0
"514";"MSTRG.474.2";1;1;0;0;0;0
"515";"MSTRG.474.3";1;1;0;0;0;0
"516";"MSTRG.474.4";1;1;0;0;0;0
"517";"MSTRG.473.2";1;0;0;0;0;0
"518";"MSTRG.473.3";1;0;0;0;0;0
"519";"MSTRG.475.1";1;1;0;1;0;0
"520";"MSTRG.476.1";1;1;0;0;0;0
"521";"MSTRG.477.1";1;1;0;0;0;0
"522";"MSTRG.478.1";1;1;1;0;0;0
"523";"ENSMGAT00000020908";1;0;0;0;0;0
"524";"ENSMGAT00000018486";1;1;0;0;0;0
"525";"MSTRG.480.1";1;0;0;0;0;0
"526";"MSTRG.481.1";1;1;0;0;0;0
"527";"MSTRG.482.1";1;1;0;1;0;1
"528";"MSTRG.483.1";1;1;0;0;0;1
"529";"MSTRG.484.1";1;1;0;0;0;0
"530";"MSTRG.485.1";1;1;0;0;0;0
"531";"MSTRG.486.1";1;1;0;1;0;0
